Date,P/L,P/VPA,P/FCO,ROE,LC,LPA,VPA,Adj Close,IBOV,Resultado,Decisao,Empresa
2011-12-28,9.02,0.9,5.33,10.03,1.78,2.55,25.47,-0.12267897498248903,0.07814766335302648,-0.2008266383355155,0,PETR3
2012-12-28,12.07,0.74,4.71,6.13,1.7,1.62,26.48,-0.18044431105887704,-0.15889552434702714,-0.0215487867118499,0,PETR3
2013-12-28,8.83,0.6,3.71,6.75,1.49,1.81,26.78,-0.35804714400575355,-0.021885423371759583,-0.33616172063399397,0,PETR3
2014-12-28,-5.81,0.4,2.01,-6.95,1.63,-1.65,23.82,-0.12588831807189904,-0.12725097218067605,0.001362654108777006,1,PETR3
2015-12-28,-3.21,0.43,1.29,-13.51,1.52,-2.67,19.77,0.9721251392378218,0.3660085915364226,0.6061165477013992,1,PETR3
2016-12-28,-14.86,0.87,2.46,-5.87,1.8,-1.14,19.38,-0.004122412844969503,0.27801010337559795,-0.28213251622056745,0,PETR3
2017-12-28,-779.0,1.13,3.53,-0.17,1.89,-0.03,20.67,0.5167562293688972,0.15032328996623123,0.36643293940266597,1,PETR3
2018-12-28,15.73,1.43,4.24,9.09,1.48,1.98,21.74,0.28795016608368496,0.3259526437357061,-0.03800247765202114,0,PETR3
2019-12-28,10.39,1.4,4.1,13.42,0.97,3.08,22.93,-0.07503714637065595,0.02159884668852019,-0.09663599305917614,0,PETR3
2020-12-28,45.46,1.03,2.16,2.28,1.04,0.54,23.85,0.3282802034032126,-0.11916741564539568,0.4474476190486083,1,PETR3
2011-12-28,9.76,1.45,6.79,14.89,1.11,8.4,56.38,-0.5361975071681646,0.07814766335302648,-0.6143451705211911,0,CLSC3
2012-12-28,-5.52,0.75,8.9,-13.59,1.03,-6.7,49.28,0.08108094971410162,-0.15889552434702714,0.23997647406112876,1,CLSC3
2013-12-28,7.75,0.72,3.53,9.3,1.12,5.16,55.42,0.03576265587688687,-0.021885423371759583,0.057648079248646455,1,CLSC3
